Laikotarpis;Rodiklis;Administracinė teritorija;Lytis;Matavimo vienetai;Reikšmė
2016;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;45.0
2017;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;46.0
2018;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;46.0
2019;Medianinis gyventojų amžius metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;metai;47.0
1970;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1971;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1972;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1973;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1974;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1975;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1976;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1977;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1978;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1979;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1980;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1981;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1982;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1983;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1984;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1985;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1986;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1987;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1988;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1989;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1990;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1991;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1992;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1993;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1994;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1995;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1996;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1997;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1998;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
1999;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
2000;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;
2001;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;39.0
2002;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;40.0
2003;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;40.0
2004;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;41.0
2005;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;41.0
2006;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;42.0
2007;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;42.0
2008;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;42.0
2009;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;43.0
2010;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;43.0
2011;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;44.0
2012;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;44.0
2013;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;45.0
2014;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;45.0
2015;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;45.0
2016;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;46.0
2017;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;46.0
2018;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;47.0
2019;Medianinis gyventojų amžius metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;metai;48.0
1970;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1971;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1972;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1973;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1974;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1975;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1976;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1977;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1978;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1979;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1980;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1981;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1982;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1983;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1984;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1985;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1986;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1987;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1988;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1989;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1990;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1991;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1992;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1993;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1994;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1995;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1996;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1997;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1998;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
1999;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
2000;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;
2001;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;37.0
2002;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;37.0
2003;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;37.0
2004;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;38.0
2005;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;38.0
2006;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;39.0
2007;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;39.0
2008;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;39.0
2009;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;40.0
2010;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;40.0
2011;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;40.0
2012;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;40.5
2013;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;41.0
2014;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;41.0
2015;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;42.0
2016;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;42.0
2017;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;42.0
2018;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;42.0
2019;Medianinis gyventojų amžius metų pradžioje;Trakų r. sav.;Vyrai ir moterys;metai;42.0
1970;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1971;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1972;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1973;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1974;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1975;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1976;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1977;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1978;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1979;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1980;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1981;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1982;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1983;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1984;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1985;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1986;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1987;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1988;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1989;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1990;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1991;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1992;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1993;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1994;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1995;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1996;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1997;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1998;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
1999;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
2000;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;
2001;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;38.0
2002;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;39.0
2003;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;39.0
2004;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;40.0
2005;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;41.0
2006;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;41.0
2007;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;42.0
2008;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;42.0
2009;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;42.0
2010;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;43.0
2011;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;44.0
2012;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;45.0
2013;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;46.0
2014;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;46.0
2015;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;47.0
2016;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;47.0
2017;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;48.0
2018;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;48.0
2019;Medianinis gyventojų amžius metų pradžioje;Ukmergės r. sav.;Vyrai ir moterys;metai;49.0
1970;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1971;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1972;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1973;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1974;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1975;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1976;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1977;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1978;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1979;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1980;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1981;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1982;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1983;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1984;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1985;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1986;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1987;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1988;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1989;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1990;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1991;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1992;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1993;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1994;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1995;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1996;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1997;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1998;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
1999;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
2000;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;
2001;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;35.0
2002;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;36.0
2003;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;36.0
2004;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;37.0
2005;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;37.0
2006;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;38.0
2007;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;38.0
2008;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;38.0
2009;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;38.0
2010;Medianinis gyventojų amžius metų pradžioje;Vilniaus m. sav.;Vyrai ir moterys;metai;39.0
